frame_seq,ts_ms,tick,proto_id,payload_len,header_hex,crc16_hex,frame_len
471,66600,666,1,32,4c20012000,AC5E,41
472,66800,668,1,32,4c20012000,6680,41
473,67000,670,1,32,4c20012000,EA48,41
474,67200,672,1,32,4c20012000,1983,41
475,67400,674,1,32,4c20012000,CD81,41
476,67600,676,1,32,4c20012000,BFF7,41
477,67800,678,1,32,4c20012000,14CE,41
478,68000,680,1,32,4c20012000,A96C,41
479,68200,682,1,32,4c20012000,23AB,41
480,68400,684,1,32,4c20012000,FCDA,41
481,68600,686,1,32,4c20012000,1E27,41
482,68800,688,1,32,4c20012000,7F55,41
483,69000,690,1,32,4c20012000,EA00,41
484,69200,692,1,32,4c20012000,39C4,41
485,69600,696,1,32,4c20012000,474F,41
486,69900,699,1,32,4c20012000,EE92,41
487,70100,701,0,32,11032000,32BD,40
488,70200,702,0,32,11032000,9F41,40
489,70400,704,0,32,11032000,CAE7,40
490,70500,705,0,32,11032000,DDF1,40
491,70600,706,0,32,11032000,1E82,40
492,70700,707,0,32,11032000,F16A,40
493,70800,708,0,32,11032000,839A,40
494,70900,709,0,32,11032000,2A2B,40
495,71000,710,0,32,11032000,BFE9,40
496,71100,711,0,32,11032000,FC42,40
497,71200,712,0,32,11032000,09E8,40
498,71300,713,0,32,11032000,0920,40
499,71400,714,0,32,11032000,7245,40
500,71500,715,0,32,11032000,361D,40
501,71600,716,0,32,11032000,69DD,40
502,71700,717,0,32,11032000,7EB2,40
503,71800,718,0,32,11032000,9BFB,40
504,71900,719,0,32,11032000,9810,40
505,72000,720,0,32,11032000,9141,40
506,72200,722,0,32,11032000,9914,40
507,72300,723,0,32,11032000,E78D,40
508,72400,724,0,32,11032000,64E8,40
509,72600,726,0,32,11032000,F390,40
510,72700,727,0,32,11032000,061A,40
511,72800,728,0,32,11032000,B37C,40
512,72900,729,0,32,11032000,3494,40
513,73000,730,0,32,11032000,426E,40
514,73100,731,0,32,11032000,4979,40
515,73200,732,0,32,11032000,65B4,40
516,73300,733,0,32,11032000,26DA,40
517,73400,734,0,32,11032000,36AF,40
518,73500,735,0,32,11032000,BFA0,40
519,73600,736,0,32,11032000,263F,40
520,73700,737,0,32,11032000,D915,40
521,73800,738,0,32,11032000,AA19,40
522,73900,739,0,32,11032000,9804,40
523,74000,740,0,32,11032000,614E,40
524,74100,741,0,32,11032000,DDEF,40
525,74200,742,0,32,11032000,537C,40
526,74300,743,0,32,11032000,527A,40
527,74400,744,0,32,11032000,DFC7,40
528,74500,745,0,32,11032000,9A4B,40
529,74600,746,0,32,11032000,8509,40
530,74700,747,0,32,11032000,5D13,40
531,74800,748,0,32,11032000,2198,40
532,74900,749,0,32,11032000,CD23,40
533,75000,750,1,32,4c20012000,2B45,41
534,75200,752,1,32,4c20012000,61B2,41
535,75400,754,1,32,4c20012000,8FAC,41
536,75600,756,1,32,4c20012000,00A5,41
537,75800,758,1,32,4c20012000,CEEB,41
538,76100,761,1,32,4c20012000,9904,41
539,76300,763,1,32,4c20012000,31FE,41
540,76500,765,1,32,4c20012000,27B9,41
541,76700,767,1,32,4c20012000,C61D,41
542,77000,770,1,32,4c20012000,B095,41
543,77200,772,1,32,4c20012000,CD80,41
544,77500,775,1,32,4c20012000,17A1,41
545,77700,777,1,32,4c20012000,BE47,41
546,77900,779,1,32,4c20012000,87E1,41
547,78100,781,1,32,4c20012000,09CC,41
548,78300,783,1,32,4c20012000,5D83,41
549,78500,785,1,32,4c20012000,E5FD,41
550,78700,787,1,32,4c20012000,0EF4,41
551,79000,790,1,32,4c20012000,E1A7,41
552,79200,792,1,32,4c20012000,0CAE,41
553,79400,794,1,32,4c20012000,BB27,41
554,79600,796,1,32,4c20012000,EBB5,41
555,79800,798,1,32,4c20012000,535B,41
556,80000,800,0,32,11032000,B9C8,40
557,80100,801,0,32,11032000,970F,40
558,80300,803,0,32,11032000,B2CF,40
559,80400,804,0,32,11032000,9234,40
560,80500,805,0,32,11032000,F1F9,40
561,80600,806,0,32,11032000,4B2D,40
562,80800,808,0,32,11032000,7554,40
563,80900,809,0,32,11032000,B0FE,40
564,81000,810,0,32,11032000,C525,40
565,81100,811,0,32,11032000,8FE8,40
566,81200,812,0,32,11032000,C121,40
567,81300,813,0,32,11032000,1F7A,40
568,81400,814,0,32,11032000,33BD,40
569,81500,815,0,32,11032000,C292,40
570,81600,816,0,32,11032000,CEBD,40
571,81700,817,0,32,11032000,E1A6,40
572,81900,819,0,32,11032000,B70D,40
573,82000,820,0,32,11032000,EB8E,40
574,82200,822,0,32,11032000,1D18,40
575,82300,823,0,32,11032000,A35D,40
576,82400,824,0,32,11032000,4D77,40
577,82500,825,0,32,11032000,CEF0,40
578,82600,826,0,32,11032000,D58B,40
579,82700,827,0,32,11032000,2124,40
580,82900,829,0,32,11032000,09EE,40
581,83000,830,0,32,11032000,4EA2,40
582,83100,831,0,32,11032000,8F6A,40
583,83200,832,0,32,11032000,D5C1,40
584,83300,833,0,32,11032000,2790,40
585,83400,834,0,32,11032000,E5DA,40
586,83500,835,0,32,11032000,3301,40
587,83600,836,0,32,11032000,D6FF,40
588,83700,837,0,32,11032000,5232,40
589,83800,838,0,32,11032000,C057,40
590,83900,839,0,32,11032000,CC8D,40
591,84000,840,0,32,11032000,137B,40
592,84100,841,0,32,11032000,D017,40
593,84200,842,0,32,11032000,D2C4,40
594,84300,843,0,32,11032000,2736,40
595,84400,844,0,32,11032000,CC27,40
596,84500,845,0,32,11032000,D62E,40
597,84600,846,0,32,11032000,F2A2,40
598,84800,848,0,32,11032000,F8C6,40
599,84900,849,0,32,11032000,AA13,40
600,85000,850,1,32,4c20012000,86A9,41
601,85200,852,1,32,4c20012000,8D11,41
602,85400,854,1,32,4c20012000,9176,41
603,85600,856,1,32,4c20012000,9D7C,41
604,85800,858,1,32,4c20012000,4B6B,41
605,86000,860,1,32,4c20012000,B37C,41
606,86200,862,1,32,4c20012000,DF46,41
607,86400,864,1,32,4c20012000,3EA7,41
608,86600,866,1,32,4c20012000,3688,41
609,86800,868,1,32,4c20012000,7D3F,41
610,87000,870,1,32,4c20012000,E6CC,41
